gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1893977459,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:CENARECB:CNRHE:NO DISPONIBLE:ed8e92443d54dcea4f9ef3d01b1fa3bb,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,NO DISPONIBLE,Jalisco,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,01/01/1999 00:00,,,1999,2562645,2562645,UNKNOWN,CENARECB,CNRHE,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Miguel Najera Rincón,,,23/09/2021 19:52,,COORDINATE_INVALID;RECORDED_DATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977458,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:CENARECB:CNRHE:NO DISPONIBLE:1f6b26ca3c564b01b9b58a273a2a7cbf,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,NO DISPONIBLE,Jalisco,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,01/01/1994 00:00,,,1994,2562645,2562645,UNKNOWN,CENARECB,CNRHE,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Enrique Garza González,,,23/09/2021 19:52,,COORDINATE_INVALID;RECORDED_DATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977456,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:FCBA-UCOL:FCBA:NO DISPONIBLE:bc9712aa7f6a8dbb4568a80129e46f24,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,NO DISPONIBLE,Colima,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,07/08/1993 00:00,7,8,1993,2562645,2562645,UNKNOWN,FCBA-UCOL,FCBA,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Roberto Lezama Gutiérrez,,,23/09/2021 19:52,,COORDINATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977454,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:CENARECB:CNRHE:NO DISPONIBLE:6777146d7c2917398c908baee23c83c5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,NO DISPONIBLE,Oaxaca,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,01/01/1998 00:00,,,1998,2562645,2562645,UNKNOWN,CENARECB,CNRHE,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Víctor M. Hernández Velázquez,,,23/09/2021 19:52,,COORDINATE_INVALID;RECORDED_DATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977452,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:CENARECB:CNRHE:NO DISPONIBLE:cd48581e0153eb43d07f47bd30f185f8,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,NO DISPONIBLE,Veracruz de ignacio de la llave,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,01/01/1995 00:00,,,1995,2562645,2562645,UNKNOWN,CENARECB,CNRHE,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Angélica Maria Berlanga Padilla,,,23/09/2021 19:52,,COORDINATE_INVALID;RECORDED_DATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977450,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:FCBA-UCOL:FCBA:NO DISPONIBLE:33333f4abbc3ae347a896119839a4e94,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,QUESERIA,Colima,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,19.38810824,-103.5752165,1340,,0,0,0.0,0.0,17/08/1993 00:00,17,8,1993,2562645,2562645,UNKNOWN,FCBA-UCOL,FCBA,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Roberto Lezama Gutiérrez,,,23/09/2021 19:52,,COORDINATE_ROUNDED;COORDINATE_REPROJECTED;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977449,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:ECOSUR:ECO-TA-HO:NO DISPONIBLE:c5a18ecaa70f976c51f99c5c1b575aff,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,NO DISPONIBLE,Colima,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,,,,,2562645,2562645,UNKNOWN,ECOSUR,ECO-TA-HO,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,23/09/2021 19:52,,COORDINATE_INVALID;RECORDED_DATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977448,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:CENARECB:CNRHE:NO DISPONIBLE:a8a3734f84c48391d26e4b1fc1feb72d,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,Ponciano Arriaga,San luis potosi,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,01/01/1994 00:00,,,1994,2562645,2562645,UNKNOWN,CENARECB,CNRHE,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Enrique Garza González,,,23/09/2021 19:52,,COORDINATE_INVALID;RECORDED_DATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977445,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:FCBA-UCOL:FCBA:NO DISPONIBLE:051e065afb8990e9d082c6d06996a667,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,NO DISPONIBLE,Colima,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,25/10/1993 00:00,25,10,1993,2562645,2562645,UNKNOWN,FCBA-UCOL,FCBA,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Enrique Garza González,,,23/09/2021 19:52,,COORDINATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
1893977443,89957a4f-8f2c-4db0-b48b-4eb497960dff,urn:catalog:CENARECB:CNRHE:NO DISPONIBLE:5f0759a6380a54d209b99dab1baf7167,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,,SPECIES,Metarhizium anisopliae (Metschn.) Sorokīn,Metharhizium anisopliae,"(Metschn.) Sorokïn, 1883",MX,NO DISPONIBLE,Tamaulipas,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,0,0,0.0,0.0,,,,,2562645,2562645,UNKNOWN,CENARECB,CNRHE,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,23/09/2021 19:52,,COORDINATE_INVALID;RECORDED_DATE_INVALID;TAXON_MATCH_FUZZY;TYPE_STATUS_INVALID
